지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
110,2019-01-01,4.8,14,19,1402,1325,310,270,,-.2,-11.9,1420,315,1034.3,1036.4,1031.9,,,,,,,,1.9,11000,-14.1,57
110,2019-01-02,3.4,8,12,1158,1139,330,350,,.1,-12.7,1431,642,1035.1,1037.2,1033.6,,,,,,,,.2,,-15.8,52
110,2019-01-03,2.5,8,11,1316,1258,360,360,,2.4,-11.9,1539,547,1035.9,1037.8,1034.3,,,,,,,,.2,,-15.7,49
110,2019-01-04,3,8,17,1258,1310,220,220,10,4.3,-10.2,1445,722,1031.2,1035.7,1027.3,,,,,,,,2.7,9000,-8.9,68
110,2019-01-05,5.2,12,16,1421,1322,350,320,41,.7,-8.9,1452,2358,1028.2,1030.3,1026.4,,,,,,,,.7,,-16.4,42
110,2019-01-06,3.3,9,17,1343,1631,310,300,,1.7,-9.6,1331,16,1029.2,1030.3,1028.2,,,,,,,,2.4,15000,-15.4,46
110,2019-01-07,2.6,10,15,1432,1426,290,290,10,3.9,-11,1420,542,1028.9,1030.6,1027.6,,,,,,,,2.8,18000,-11.2,61
110,2019-01-08,7.2,18,27,1936,1933,320,320,10,1.1,-10.1,1450,638,1029.7,1033.9,1027.6,,,,,,,,.4,,-17,41
110,2019-01-09,3.2,10,13,8,4,330,320,,.1,-12.3,1501,740,1033.9,1037.2,1030.1,,,,,,,,2.8,18000,-19.3,37
110,2019-01-10,3.1,7,11,1539,1554,210,200,5,3.5,-6.3,1529,611,1027.1,1030.1,1025.2,,,,,,,,6.2,3500,-11,51
110,2019-01-11,2.6,6,12,1538,1611,310,290,5,6.5,-2.9,1331,2226,1025.6,1027.5,1022.6,,,,,,,,4.7,3500,-5,65
110,2019-01-12,2.8,8,12,1518,1545,300,290,10,7.3,-6.4,1412,2348,1023.4,1025,1021.6,,,,,,,,3.8,4000,-7.3,56
110,2019-01-13,2.7,7,9,1623,1416,300,340,41,6.7,-8.4,1508,608,1026.1,1027.2,1024.9,,,,,,,,.2,,-7.3,67
110,2019-01-14,2.3,6,9,1607,1649,310,300,46,5.6,-8.4,1410,542,1026.1,1028.5,1023.8,,,,,,,,4.5,2000,-5.4,74
110,2019-01-15,7.5,20,27,1544,1537,300,290,46,2.4,-8.6,1408,2400,1024.7,1028.5,1022.7,0,,,,,,,3,2000,-9.7,60
110,2019-01-16,4.6,9,15,253,1638,330,260,71,-.9,-12.3,1537,800,1027.6,1030.1,1024.9,.1,,,,,.1,.1,2.5,2500,-17,45
110,2019-01-17,4.5,12,17,1324,1326,290,310,71,4.7,-7.5,1331,650,1024.6,1028.1,1022.7,0,,,,,,,1.5,3000,-11.3,54
110,2019-01-18,2.2,8,12,1431,1220,310,220,5,6,-9.8,1356,758,1028,1030.1,1026.6,,,,,,,,2.1,16000,-10.2,57
110,2019-01-19,3,7,14,1035,1343,180,200,10,9.3,-4.2,1519,348,1023.1,1027,1019.2,,,,,,,,5.1,2500,-4.1,65
110,2019-01-20,9.4,16,22,1059,1052,320,310,10,2.2,-7.6,1,2333,1023,1026.8,1018.9,,,,,,,,.8,3000,-15,39
110,2019-01-21,5.5,14,21,1643,1350,250,230,,5.5,-10.9,1412,548,1022.2,1026.8,1019.1,0,,,,,,,2.3,2500,-9.9,56
110,2019-01-22,3.8,12,19,1342,1631,220,230,41,7.5,-8.3,1249,546,1019.8,1021,1018.6,,,,,,,,.8,,-6.5,67
110,2019-01-23,6.1,16,24,1434,1431,310,300,41,8,-6.9,1510,513,1020.6,1024.3,1018,,,,,,,,.5,,-11.5,51
110,2019-01-24,3.2,8,12,1530,1549,310,300,,5.4,-9.3,1506,609,1025.1,1026.7,1024.1,,,,,,,,.3,,-14.9,43
110,2019-01-25,7.4,16,22,1646,1742,310,310,,2.8,-8.5,1357,624,1024.8,1027.3,1022.7,,,,,,,,1,20000,-16.2,40
110,2019-01-26,6.5,13,19,516,438,320,320,,2,-8.5,1614,800,1029,1031,1027.1,,,,,,,,0,,-18.1,34
110,2019-01-27,4.5,10,20,1558,1448,230,220,,4.6,-12.3,1342,733,1027.6,1031.2,1021.4,,,,,,,,3.8,3000,-9.9,56
110,2019-01-28,8.9,18,25,1134,1122,320,310,5,4.6,-5.9,1337,2352,1022.9,1027.2,1019.1,0,,,,,,,1.8,3000,-12.3,40
110,2019-01-29,3.2,9,17,1713,1546,300,260,,6.2,-10.5,1520,635,1028.2,1030.1,1026.6,,,,,,,,1.8,18000,-13.5,48
110,2019-01-30,3.1,10,14,1538,1514,300,280,10,6.8,-6.5,1419,722,1026.3,1029,1023.4,,,,,,,,5.3,13000,-6.1,65
110,2019-01-31,7.9,11,21,1032,1649,320,310,10,.8,-7.9,48,2318,1022.2,1024.5,1020,,,,,,,,5.8,9000,-19.8,28
110,2019-02-01,3.5,11,17,1317,1638,240,230,,3.2,-11,1406,355,1024.4,1025.6,1023.2,0,,,,,,,2.5,3000,-12.7,50
110,2019-02-02,6.4,11,19,1147,1500,160,190,5,7.1,-7.5,1611,219,1022.2,1024.3,1018.8,,,,,,,,5.1,3000,-7.1,54
110,2019-02-03,5.9,10,15,318,318,120,120,53,5,.5,1,2356,1013.1,1019.5,1008.6,18.5,,,,,,,7.4,2000,.3,83
110,2019-02-04,5.3,13,19,105,52,310,300,5,2.8,-4,1457,2316,1025.8,1028.7,1019.5,,,,,,,,2.3,20000,-12.4,44
110,2019-02-05,4.4,10,18,1137,1458,160,210,5,9.7,-6.4,1458,422,1021.9,1026.4,1018.5,,,,,,,,3.2,4000,-10,46
110,2019-02-06,3.3,9,15,1544,1631,230,190,10,9.5,-3.5,1513,313,1016.6,1019.1,1014.7,,,,,,,,6,2500,-3.4,61
110,2019-02-07,11,19,25,946,939,320,320,71,4.9,-8.6,10,2400,1023.1,1029.3,1016.4,0,,,,,,,3.6,2500,-13.7,45
110,2019-02-08,6,12,17,1,8,340,340,,-3.2,-10.9,1444,712,1027.3,1029.9,1024.7,,,,,,,,4.5,18000,-20.6,35
110,2019-02-09,8.6,14,20,243,244,330,310,,-2.2,-9.5,1555,556,1028.9,1033.1,1024.7,,,,,,,,3,13000,-20.2,33
110,2019-02-10,4.3,8,11,117,105,350,340,,-2.3,-11.1,1552,442,1031.6,1033.6,1029.9,,,,,,,,5.8,10000,-18.6,37
110,2019-02-11,4.3,11,23,1259,1346,350,360,,2.2,-9.5,1553,722,1032.2,1034.7,1030.2,,,,,,,,.8,10000,-16.4,38
110,2019-02-12,4.4,11,16,1555,1550,320,320,5,3.2,-7.2,1506,125,1034.6,1036.7,1032.8,0,,,,,,,3.3,3000,-13.5,43
110,2019-02-13,6.1,14,22,1409,1414,320,320,,2.3,-8.2,1317,656,1033.7,1035.6,1031.9,,,,,,,,1.6,20000,-18.4,33
110,2019-02-14,4.1,11,14,1513,1507,300,300,,4.9,-8.5,1430,733,1031.9,1034.5,1028,,,,,,,,4.8,18000,-17,34
110,2019-02-15,4,12,18,1900,1853,310,300,71,1.4,-3.9,1807,2337,1024.5,1028.8,1021.4,2.5,,,,,3.4,3.4,6.8,2000,-6.2,70
110,2019-02-16,5.7,11,17,1257,1632,330,300,71,1.2,-6.8,1412,732,1024.8,1026.4,1022.9,.1,,,,,.3,.3,2.4,3000,-10.3,58
110,2019-02-17,3.6,10,13,1628,1050,300,310,,4,-10.1,1446,710,1026.9,1028.2,1025.7,,,,,,,,0,,-12.7,51
110,2019-02-18,3.3,6,10,1637,943,320,230,,4.6,-8.3,1355,639,1026.2,1028.1,1023.8,,,,,,,,4.6,8000,-10.1,54
110,2019-02-19,4,9,11,1044,1043,340,330,72,4,-1.3,1613,2301,1019.9,1023.8,1017.3,3.1,,,,,3.1,3.1,7,2000,-3,77
